provider,status,request_url,http_status,checked_at,capture_status,published_count,captured_count,retained_count,reason,visible_excerpt
durable,evidenced,https://durable.com/,200,2026-09-23T06:31:52Z,matched,1,1,0,Official source checked; matched configured extraction rules.,"Durable – AI Business Builder | Launch in minutes Durable Sign up Products Pricing Resources Tools Start for free AI that gets your business online, found, and booked Durable builds your website, gets you found on Google and AI search, and handles bookings, payments, and customer"
easyspace,evidenced,https://www.easyspace.com/,200,2026-09-23T06:31:18Z,matched,3,1,2,Official source checked; matched configured extraction rules. Some earlier records remain because their configured rule did not match this run.,﻿ Domain Names | Web Hosting | Dedicated Servers | UK Based | Easyspace Click here for the easyspace callback service Renew Services Support Webmail Blog Control Panel back Easyspace.com Search for a domain name Domain s Names Search for a domain name Domain Names Premium Domains
ecwid,evidenced,https://www.ecwid.com/pricing,200,2026-09-23T06:31:40Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: https://www.ecwid.com/pricing returned HTTP 200 on 2026-09-12; the 186 KB response carries no price in its served text -- the only dollar sign in it is a JavaScript replacement token -- so the plan cards are inserted by script after load.",Ecwid Pricing - Choose the right Ecwid plan for your business! Sell Simplify Grow Resources Pricing Login Get started Website Linkup Google Marketplaces Mobile Facebook Instagram TikTok Pinterest Snapchat In-person (POS) ShopApp Inventory Orders Payments Taxes # Shipping Delivery
eukhost,evidenced,https://www.eukhost.com/,200,2026-09-23T06:32:01Z,matched,4,4,0,Official source checked; matched configured extraction rules.,Performance Web Hosting with 24/7 Expert Support | eukhost Web Hosting Servers Security & Tools Domains VAT? Cart Chat Contact us Login Web Hosting Servers Security & Tools Domains Client Portal Contact Us: 0113 526 9770 Prices to include VAT? VAT? Web Hosting with 24/7 Expert Su
eurodns,evidenced,https://www.eurodns.com/,200,2026-09-23T06:31:30Z,matched,4,4,0,Official source checked; matched configured extraction rules.,"EuroDNS: Domains, Hosting & Web Essentials All In One Place Menu Register domains Website hosting person My account live_help Help Cart travel_explore Domain Names Domain Name Search Bulk Search Domain Name Transfer AI Domain Suggest New Domain Extensions Domain Privacy Whois shi"
fasthosts,evidenced,https://www.fasthosts.co.uk/web-hosting,200,2026-09-23T06:32:31Z,unmatched,3,0,3,"Official source responded, but no configured extraction rule matched; existing records were retained.","Web Hosting | Web Hosting Services | Web Hosting UK | Fasthosts Skip to content Fasthosts home AI Receptionist AI Receptionist Never miss a business call, even after hours Domains Domain Names It all starts with a name. Find the perfect domain and make a home for your great idea"
fly-io,evidenced,https://fly.io/pricing/,200,2026-09-23T06:33:08Z,unmatched,3,0,3,"Official source responded, but no configured extraction rule matched; existing records were retained.",Pricing · Fly Open main menu Products Products Machines Sprites Managed Postgres Phoenix.new Features Private Networking Autoscaling Zero Downtime Deploys Granular Routing Monitoring Docs Platform Docs Sprites Docs Customers Pricing Articles Blog Sprites Infra Log Community Statu
flywheel,evidenced,https://getflywheel.com/pricing/,200,2026-09-23T06:32:26Z,matched,3,3,0,Official source checked; matched configured extraction rules.,Flywheel | WordPress Hosting Pricing and Plans Thank you for choosing Flywheel + Elementor Product Managed hosting The best hosting solution for busy creatives WooCommerce sites Exceptional hosting for your eCommerce store High traffic sites Scale your WordPress site without the
framer,evidenced,https://www.framer.com/pricing,200,2026-09-23T06:32:20Z,matched,2,2,0,Official source checked; matched configured extraction rules.,Framer: Pricing Framer Platform Solutions Resources Enterprise Pricing Log in Sign up Copy logo SVG Brand guidelines Framer Log in Sign up Search... Get Started Overview Compare FAQ Plugins Introduction Quick Start Publishing Changelog Reference Guides Server API Introduction Qui
gandi,evidenced,https://www.gandi.net/en/domain,200,2026-09-23T06:32:29Z,unmatched,2,0,2,"Official source responded, but no configured extraction rule matched; existing records were retained.",Buy a domain name: choose from over 750 domain endings - Gandi.net Skip to main content Log in Create a website Create a website Create a website Explore our solutions for easily creating your website Create a website Create a showcase website Promote your business online and imp
ghost,evidenced,https://ghost.org/pricing/,200,2026-09-23T06:32:20Z,matched,3,3,0,Official source checked; matched configured extraction rules.,"Ghost(Pro) - Official managed hosting for Ghost Open menu Product For Creators YouTubers, bloggers, podcasters, musicians & artists For Publishers Writers, journalists, local news and new media outlets For Business Modern brands & companies with ambitious content marketing For De"
godaddy,challenge,https://www.godaddy.com/robots.txt,403,2026-09-23T06:33:06Z,not_attempted,0,0,0,robots.txt returned HTTP 403; source page was not requested.,"Access Denied Access Denied You don't have permission to access ""http://www.godaddy.com/robots.txt"" on this server. Reference #18.a272cd17.1790145186.e02d1dd3 https://errors.edgesuite.net/18.a272cd17.1790145186.e02d1dd3"
greengeeks,evidenced,https://www.greengeeks.com/shared-hosting/,200,2026-09-23T06:32:45Z,matched,3,3,0,Official source checked; matched configured extraction rules.,"Fast, Affordable & Eco-Friendly Shared Hosting 2026 - GreenGeeks Skip to main content Websites  WordPress  Hosting  Domains Agencies Resources  Contact  Login  Shared Hosting Fast, Secure & Eco-Friendly Shared Hosting GreenGeeks Shared Hosting minimizes performance issues,"
gridpane,evidenced,https://gridpane.com/plans/,200,2026-09-23T06:32:24Z,matched,2,2,0,Official source checked; matched configured extraction rules.,Plans | GridPane Skip to content Features Performance Security Management & Workflow Tools Managed Hosting PeakFreq Managed Servers Fully Managed Websites Fortress Relay Knowledge Base More FAQ Comparisons Blog Login View Plans Features Performance Host even the most demanding Wo
hawkhost,evidenced,https://www.hawkhost.com/,200,2026-09-23T06:32:01Z,matched,3,3,0,Official source checked; matched configured extraction rules.,"Fast Cloud Web Hosting, Reseller & VPS | Hawk Host 8x Performance High Performance Plans Now Available Shop Now HOME All Products Cloud Web Hosting Web Hosting High Performance Web Hosting Reseller Hosting Semi-Dedicated Cloud Hosting Virtual Private Servers Cloud Compute Domains"
heart-internet,evidenced,https://www.heartinternet.uk/,200,2026-09-23T06:32:03Z,unmatched,3,0,3,"Official source responded, but no configured extraction rule matched; existing records were retained.","Hosting, Domains, Servers, Email and SSL - Heart Internet Search SALE Domains from 99p Plus discounts on single year domains Industry judged. Customer rated. Named the UK’s best hosting provider. Twice. Two separate awards for Best Hosting Provider this year, an innovation award"
heroku,evidenced,https://www.heroku.com/pricing/,200,2026-09-23T06:32:34Z,unmatched,4,0,4,"Official source responded, but no configured extraction rule matched; existing records were retained.",Cloud Application Platform Pricing & Plans | Heroku Search overlay panel for performing site-wide searches Search For: Close Build Your Next Big Thing on Heroku. Sign Up Now! Search Open Search Popup Account menu Dashboard Databases Dataclips Elements Documentation Support Dashbo
hetzner,evidenced,https://www.hetzner.com/cloud/,200,2026-09-23T06:32:56Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: GET https://www.hetzner.com/cloud/ returned HTTP 200; the served HTML contains no dollar, euro or pound amount in its visible text and no price value in JSON, so no amount could be read without executing scripts.","Cloud-hosting provider for developers & teams THIS WEBSITE USES COOKIES We want you to have the best possible user experience on our website. We use cookies to analyze how visitors like you use our website, so we can make improvements. And we use cookies to make sure that the web"
hostdime,evidenced,https://www.hostdime.com/,200,2026-09-23T06:31:12Z,matched,3,3,0,Official source checked; matched configured extraction rules.,"HostDime: Premier Global Data Centers 407.756.1126 Live Chat CORE Login Data Centers Data Centers HostDime is a pioneer in designing, developing, and operating next-gen, purpose-built , mission-critical Tier IV data center facilities in global edge markets. Data Center Facilities"
hosthatch,unreadable,https://hosthatch.com/,200,2026-09-23T06:32:10Z,not_attempted,0,0,0,Official source returned no visible text.,
hostinger,evidenced,https://www.hostinger.com/pricing,200,2026-09-23T06:32:41Z,unmatched,2,0,2,"Official source responded, but no configured extraction rule matched; existing records were retained.","Hostinger pricing | Explore web hosting and all Hostinger plans Pricing Products Products AI and automation Hosting Domains Websites and apps Ecommerce Email and marketing Automate and deploy Hostinger Agent New Ready-to-use AI team for daily business tasks. OpenClaw Personal, al"
hostwinds,evidenced,https://www.hostwinds.com/,200,2026-09-23T06:32:56Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: GET https://www.hostwinds.com/ returned HTTP 200 with 3,977 characters of visible text and no currency amount anywhere in the served HTML.","Web Hosting, VPS, Cloud & Dedicated Servers | Hostwinds Log In Docs Live Chat (888) 404-1279 English Hosting Shared Hosting Business Hosting Reseller Hosting White Label Reseller VPS Linux Managed Windows Managed Linux Unmanaged Windows Unmanaged Cloud Cloud Servers Load Balancer"
infomaniak,evidenced,https://www.infomaniak.com/en/hosting,200,2026-09-23T06:32:13Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: https://www.infomaniak.com/en/hosting returned HTTP 200 on 2026-09-12; the 2.6 MB response contains no currency figure and the extracted visible text holds none either, so prices are inserted by script after load.","Hosting – discover all our web hosting and cloud computing offers | Infomaniak Our products Collaborative tools Web & Domains Cloud Computing Events & Marketing Streaming kDrive Store, collaborate and share your files kChat Communicate live with your teams SwissTransfer Send your"
inmotion-hosting,evidenced,https://www.inmotionhosting.com/shared-hosting,200,2026-09-23T06:32:45Z,unmatched,1,0,1,"Official source responded, but no configured extraction rule matched; existing records were retained.",Best Shared Web Hosting 2026 | InMotion Hosting Skip to content Open Menu InMotion Hosting Home InMotion Agency Partner Program. Founding spots available. Apply Today Resources Resources Server Management Website Services Compare InMotion Hosting Resource Center Blog Support Cent
ionos,evidenced,https://www.ionos.com/hosting/web-hosting,200,2026-09-23T06:32:49Z,matched,4,4,0,Official source checked; matched configured extraction rules.,Web Hosting | Fast Hosting Services | 99.99% Uptime New Momentum AI Domains & SSL Email & Office Websites eCommerce WordPress Hosting Servers Cloud Get online and grow your business AI App & Site Builder New Create websites and apps by chat – maximum flexibility. Never miss a cus
jimdo,evidenced,https://www.jimdo.com/pricing/website/,200,2026-09-23T06:33:03Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: GET https://www.jimdo.com/pricing/ returned HTTP 200 with 6,537 characters of visible text and no currency amount in the served HTML.","Pricing Plans for Your Website | Jimdo Website Our Website Builder Create a website Pricing and plans Website examples Your own domain Founder Stories Useful tools for your website Warning-proof legal texts For privacy policy & Co Business listings For Google, Facebook & Co. Onli"
kamatera,evidenced,https://www.kamatera.com/pricing/,200,2026-09-23T06:32:23Z,matched,3,3,0,Official source checked; matched configured extraction rules.,Predictable Pricing | Kamatera Docs Blog Support Contact Sales Log in EN Deutsch Français Español English Русский עברית Products Cloud Servers Powerful enterprise-class cloud infrastructure Cloud Desktop Secured virtual desktop secure environment Virtual Private Cloud Set up an i
kinsta,evidenced,https://kinsta.com/pricing/,200,2026-09-23T06:32:43Z,matched,1,1,0,Official source checked; matched configured extraction rules.,WordPress hosting plans - Kinsta® Skip to content Kinsta® Navigation Platform Product Hosting for WordPress Security Performance MyKinsta dashboard Features Bot Protection Automatic Plugin Updates Cloudflare integration Edge caching APM Extensions Kinsta add-ons API Application h
knownhost,evidenced,https://www.knownhost.com/web-hosting,200,2026-09-23T06:32:47Z,unmatched,1,0,1,"Official source responded, but no configured extraction rule matched; existing records were retained.",Shared Web Hosting with Expert 24/7 Support | KnownHost Sign In Support +1(866) 332-9894 Hosting Hosting Web Hosting PCI Compliant Hosting Reseller Hosting Semi-Dedicated Hosting Hosting for WordPress Managed VPS Servers Managed NVMe VPS Servers Managed Cloud Servers Managed Dedi
koyeb,evidenced,https://www.koyeb.com/pricing,200,2026-09-23T06:32:25Z,matched,2,2,0,Official source checked; matched configured extraction rules.,"Pricing for intensive infractrucure - Koyeb Koyeb is joining Mistral AI to Build The Future of AI Infrastructure. Read More → Pricing Docs Blog Tutorials Changelog Deploy Partners Login Sign up Pricing for intensive infrastructure Only pay for what you use, by the second. Scale w"
krystal,evidenced,https://krystal.io/hosting,200,2026-09-23T06:32:39Z,matched,6,6,0,Official source checked; matched configured extraction rules.,"Web Hosting | Website Hosting | Web Hosting UK | Krystal | Krystal Hosting Skip to main content Domains Hosting & Websites Cloud Solutions Why Krystal? Support Log in Sign up Award-winning ethical web hosting Ultra-fast, 100% green powered web hosting with the best support team i"
kualo,evidenced,https://www.kualo.com/,200,2026-09-23T06:32:58Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: GET https://www.kualo.com/ returned HTTP 200 with 12,036 characters of visible text and no currency amount in the served HTML; https://www.kualo.com/hosting returned HTTP 404.","Site Hosting, Domain Registration & Cloud Hosting | Kualo 1-800-995-8256 Sales Chat Knowledgebase Client Area View Cart $ USD EUR € GBP £ AUD A$ BRL R$ CAD C$ CHF CHF CNY ¥ CZK Kč DKK kr HKD HK$ HRK kn HUF Ft IDR Rp ILS ₪ INR ₹ JPY ¥ KRW ₩ MXN $ MYR RM NOK kr NZD $ PHP ₱ PLN zł R"
lightningbase,evidenced,https://lightningbase.com/pricing/,200,2026-09-23T06:32:00Z,matched,4,4,0,Official source checked; matched configured extraction rules.,"Pricing - Lightning Base Get Started Now Home Tour Pricing Contact About Pricing Every plan includes our premium hosting setup. WordPress sites include basic management, with per-site backups, caching/CDN setup and configuration/transfer assistance as required. Personal $9.95/mo"
mddhosting,evidenced,https://www.mddhosting.com/,200,2026-09-23T06:32:52Z,matched,3,3,0,Official source checked; matched configured extraction rules.,"MDDHosting — Hosting That Works. Support That Helps. US 1-877-412-4678 International 1-317-961-1116 PROFESSIONAL WEB HOSTING SOLUTIONS Blazing Fast StorPool Powered Cloud × Our StorPool powered Cloud Platforms are Highly Available , Distributed and Self-Healing . Plaid Performanc"
name-com,evidenced,https://www.name.com/domains,200,2026-09-23T06:32:31Z,unmatched,3,0,3,"Official source responded, but no configured extraction rule matched; existing records were retained.",Domain Extensions List | All Top-Level Domains (TLDs) | Name.com Skip navigation name.com Toggle navigation 0 Log in Domains Domains Buy Your Domain Search Domains Bulk Search Domains Domain Pricing List of TLDs Manage Your Domain Transfer Domains Renew Domains Browse Aftermarket
namecheap,challenge,https://www.namecheap.com/domains/registration/gtld/com/,403,2026-09-23T06:33:06Z,not_attempted,0,0,0,Official source returned HTTP 403.,Just a moment...
namehero,evidenced,https://www.namehero.com/,200,2026-09-23T06:32:50Z,matched,4,4,0,Official source checked; matched configured extraction rules.,NameHero® – Fast Web Hosting & Domains Made Easy Live Chat Chat Help Center Help 1-855-984-6263 Call 0 Cart AI Agents Agentic Hosting Starts Here Pick an app. We run the server. See All Apps OpenClaw Agents that deliver Claude Code Build with AI agents n8n Automate your workflows
netcup,evidenced,https://www.netcup.com/en/server/vps,200,2026-09-23T06:31:58Z,unmatched,4,0,4,"Official source responded, but no configured extraction rule matched; existing records were retained.","VPS hosting with top performance & best conditions | netcup Skip to content Hosting that delivers : Get domains , web hosting , servers and more at unbeatable prices EN / VAT 19% Select your settings Close Please select your desired language and country. The country selection is"
netlify,evidenced,https://www.netlify.com/pricing/,200,2026-09-23T06:32:53Z,matched,2,2,0,Official source checked; matched configured extraction rules.,Pricing and Plans | Netlify Netlify's official Discord is live. Join to share your work and connect with builders. Close announcement bar Site navigation Go to homepage Skip to content Search Log in Contact Toggle main menu Platform Toggle platform submenu The Netlify Platform Yo
nhost,evidenced,https://nhost.io/pricing,200,2026-09-23T06:31:27Z,matched,2,2,0,Official source checked; matched configured extraction rules.,Pricing Plans for Every Stage | Nhost Product Docs Blog About Customers Pricing 7K Sign in Sign up Predictable pricing for your infrastructure Nhost Cloud Self Hosted Starter Get your idea off the ground for free. $0 / month Limit of 1 project. Project paused after 1 week of inac
nixihost,evidenced,https://www.nixihost.com/,200,2026-09-23T06:31:36Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: https://www.nixihost.com/ returned HTTP 200 on 2026-09-12; the 18 KB response contains no currency figure and the extracted visible text holds no monthly amount, so the plan prices are inserted by script after load.","NixiHost: Smart, Reliable, Affordable: Shared Web Hosting | VPS Web Hosting | Dedicated Web Hosting | Web Hosting for Resellers Shared Hosting Reseller Semi-Dedicated Dedicated VPS Domains Login Contact Login Smart, Reliable Web Hosting You Can Afford. Providing friendly, dependa"
northflank,evidenced,https://northflank.com/pricing,200,2026-09-23T06:32:08Z,matched,4,4,0,Official source checked; matched configured extraction rules.,Pricing — Northflank Skip to content Primary navigation Show navigation Northflank Platform Resources Enterprise Pricing Docs Book a demo Log in Get started US West US Central US East EU West Asia East Pricing Northflank compute Bring your own cloud Deploy workloads on Northflank
one-com,evidenced,https://www.one.com/en-gb/,200,2026-09-23T06:32:17Z,no_price_rule,0,0,0,"Official source and robots.txt were checked successfully. No deterministic price rule can be written (price_rendered_by_js), so no offer was published. Evidence: https://www.one.com/en/ returned HTTP 200 on 2026-09-12; the only amounts in the served HTML are the first-year domain rates, and the hosting plan cards are inserted by script after load.","Domains, Hosting, Websites & Email in One Place | one.com UK Plans & Pricing 24/7 support Get help Start a chat The quickest way to get in touch, every day of the year. Send us an email We'll reply as soon as possible – usually within 24 hours. Guides Helpdesk Here to help you bu"
ovhcloud,evidenced,https://www.ovhcloud.com/en/vps/,200,2026-09-23T06:32:54Z,matched,4,4,0,Official source checked; matched configured extraction rules.,"VPS - Your virtual private server in the cloud | OVHcloud Worldwide Open menu Webmail Notifications Back to menu No pending order No pending ticket My customer account Contact Sales Support World [$] Back to menu Country Currency Select <div class=""odss-dropdown__content""></div>"
